iter	Passed	Remaining
485	579	612
486	580	611
487	581	609
488	581	608
489	582	606
490	583	604
491	585	604
492	587	603
493	588	602
494	589	601
495	590	599
496	590	598
497	591	596
498	592	595
499	593	593
500	594	592
501	595	590
502	596	589
503	597	588
504	598	587
505	600	585
506	601	585
507	603	584
508	605	583
509	605	582
510	606	580
511	607	579
512	608	577
513	609	576
514	610	574
515	612	574
516	613	572
517	614	571
518	615	570
519	617	569
520	618	569
521	620	567
522	621	566
523	621	564
524	622	563
525	623	561
526	624	560
527	625	559
528	626	557
529	627	556
530	628	555
531	629	553
532	632	554
533	633	553
534	634	551
535	635	550
536	636	548
537	637	547
538	638	545
539	639	544
540	639	542
541	640	541
542	641	540
543	642	538
544	644	537
545	646	537
546	648	536
547	649	535
548	650	534
549	651	532
550	652	531
551	653	530
552	654	528
553	655	527
554	655	525
555	656	524
556	657	522
557	658	521
558	659	520
559	660	519
560	662	518
561	663	517
562	664	515
563	665	514
564	666	513
565	667	512
566	668	510
567	669	509
568	670	507
569	671	506
570	671	504
571	672	503
572	674	502
573	675	501
574	677	500
575	678	499
576	679	498
577	680	497
578	681	495
579	682	494
580	683	492
581	684	491
582	685	490
583	687	489
584	688	488
585	689	487
586	691	486
587	693	485
588	694	484
589	695	483
590	696	481
591	697	480
592	698	479
593	699	477
594	699	476
595	700	475
596	701	473
597	702	472
598	703	471
599	705	470
600	707	469
601	708	468
602	709	466
603	710	465
604	710	464
605	711	462
606	712	461
607	713	460
608	714	458
609	715	457
610	716	455
611	716	454
612	717	453
613	719	452
614	720	451
615	722	450
616	723	448
617	724	447
618	724	446
619	725	444
620	726	443
621	727	441
622	728	440
623	729	439
624	729	437
625	730	436
626	731	435
627	732	434
628	733	432
629	735	432
630	737	431
631	738	430
632	739	428
633	740	427
634	742	426
635	743	425
636	743	423
637	744	422
638	745	421
639	746	419
640	747	418
641	748	417
642	750	416
643	752	415
644	753	414
645	753	413
646	754	411
647	755	410
648	756	409
649	757	407
650	758	406
651	759	405
652	760	404
653	761	403
654	764	402
655	765	401
656	766	400
657	767	398
658	768	397
659	769	396
660	770	394
661	771	393
662	772	392
663	772	391
664	774	390
665	775	388
666	776	387
667	778	386
668	780	385
669	780	384
670	781	383
671	782	382
672	783	380
673	784	379
674	785	378
675	786	376
676	787	375
677	788	374
678	789	373
679	790	371
680	791	370
681	794	370
682	795	369
683	796	367
684	797	366
685	798	365
686	798	363
687	799	362
688	800	361
689	801	360
690	802	358
691	803	357
692	804	356
693	805	355
694	806	353
695	808	353
696	809	352
697	810	350
698	811	349
699	812	348
700	813	347
701	814	345
702	816	344
703	817	343
704	818	342
705	818	340
706	820	339
707	822	339
708	824	338
709	825	337
710	826	335
711	827	334
712	828	333
713	829	332
714	829	330
715	830	329
716	831	328
717	832	326
718	833	325
719	834	324
720	835	323
721	837	322
722	839	321
723	840	320
724	841	319
725	842	317
726	843	316
727	844	315
728	845	314
729	846	313
730	847	311
731	848	310
732	849	309
733	851	308
734	853	307
735	853	306
736	854	305
737	855	303
738	856	302
739	857	301
740	857	299
741	859	298
742	860	297
743	861	296
744	861	294
745	862	293
746	863	292
747	864	291
748	865	290
749	867	289
750	868	287
751	868	286
752	869	285
753	870	283
754	871	282
755	871	281
756	872	280
757	873	278
758	874	277
759	875	276
760	875	275
761	876	273
762	877	272
763	878	271
764	879	270
765	880	268
766	881	267
767	882	266
768	883	265
769	884	264
770	885	262
771	885	261
772	886	260
773	887	259
774	888	257
775	888	256
776	889	255
777	890	254
778	891	252
779	891	251
780	892	250
781	893	249
782	894	247
783	895	246
784	896	245
785	897	244
786	898	243
787	899	241
788	900	240
789	901	239
790	901	238
791	902	237
792	903	235
793	904	234
794	905	233
795	906	232
796	906	230
797	907	229
798	908	228
799	909	227
800	911	226
801	913	225
802	914	224
803	914	223
804	915	221
805	916	220
806	917	219
807	917	218
808	918	216
809	919	215
810	920	214
811	920	213
812	921	212
813	922	210
814	923	209
815	924	208
816	925	207
817	926	206
818	927	204
819	928	203
820	929	202
821	929	201
822	930	200
823	931	198
824	932	197
825	932	196
826	933	195
827	934	194
828	935	192
829	935	191
830	936	190
831	937	189
832	938	188
833	939	186
834	940	185
835	941	184
836	942	183
837	942	182
838	943	181
839	944	179
840	945	178
841	945	177
842	946	176
843	947	175
844	948	173
845	948	172
846	949	171
847	950	170
848	951	169
849	952	168
850	952	166
851	953	165
852	955	164
853	956	163
854	957	162
855	957	161
856	958	160
857	959	158
858	960	157
859	961	156
860	962	155
861	963	154
862	963	153
863	964	151
864	965	150
865	966	149
866	967	148
867	968	147
868	969	146
869	970	145
870	971	143
871	973	142
872	974	141
873	975	140
874	975	139
875	977	138
876	978	137
877	979	136
878	980	134
879	981	133
880	982	132
881	983	131
882	984	130
883	984	129
884	985	128
885	986	126
886	987	125
887	988	124
888	988	123
889	989	122
890	990	121
891	991	120
892	992	118
893	993	117
894	993	116
895	994	115
896	995	114
897	996	113
898	997	112
899	998	110
900	999	109
901	1000	108
902	1000	107
903	1001	106
904	1002	105
905	1003	104
906	1004	102
907	1005	101
908	1005	100
909	1006	99
910	1007	98
911	1008	97
912	1009	96
913	1009	95
914	1011	93
915	1012	92
916	1014	91
917	1014	90
918	1016	89
919	1017	88
920	1018	87
921	1019	86
922	1020	85
923	1020	83
924	1021	82
925	1022	81
926	1023	80
927	1024	79
928	1025	78
929	1026	77
930	1027	76
931	1028	75
